iter	Passed	Remaining
402	12407	18379
403	12439	18351
404	12469	18318
405	12498	18286
406	12529	18255
407	12559	18223
408	12591	18194
409	12623	18164
410	12652	18131
411	12686	18106
412	12721	18080
413	12751	18048
414	12780	18016
415	12809	17982
416	12838	17949
417	12874	17925
418	12904	17893
419	12936	17864
420	12965	17831
421	12994	17798
422	13024	17766
423	13053	17732
424	13084	17703
425	13114	17670
426	13145	17640
427	13177	17611
428	13207	17579
429	13241	17552
430	13272	17522
431	13303	17490
432	13335	17462
433	13362	17426
434	13393	17395
435	13423	17364
436	13456	17336
437	13490	17309
438	13521	17279
439	13554	17250
440	13588	17224
441	13618	17192
442	13647	17159
443	13678	17128
444	13713	17103
445	13742	17070
446	13774	17041
447	13803	17007
448	13835	16978
449	13868	16950
450	13902	16923
451	13931	16890
452	13959	16856
453	13992	16827
454	14021	16794
455	14051	16763
456	14081	16731
457	14113	16701
458	14146	16673
459	14177	16643
460	14207	16610
461	14239	16581
462	14268	16548
463	14299	16517
464	14330	16487
465	14361	16457
466	14396	16431
467	14427	16399
468	14457	16368
469	14489	16338
470	14520	16308
471	14550	16276
472	14580	16244
473	14612	16215
474	14644	16186
475	14673	16153
476	14703	16121
477	14734	16090
478	14765	16059
479	14798	16031
480	14832	16004
481	14865	15975
482	14898	15946
483	14928	15915
484	14961	15887
485	14990	15853
486	15020	15822
487	15050	15791
488	15083	15762
489	15114	15731
490	15147	15703
491	15182	15676
492	15214	15646
493	15243	15613
494	15272	15581
495	15306	15553
496	15335	15520
497	15365	15489
498	15395	15456
499	15426	15426
500	15454	15393
501	15488	15365
502	15520	15335
503	15552	15305
504	15585	15276
505	15616	15246
506	15645	15213
507	15674	15181
508	15708	15152
509	15737	15120
510	15767	15089
511	15798	15057
512	15828	15026
513	15859	14996
514	15891	14966
515	15921	14934
516	15953	14904
517	15984	14873
518	16016	14843
519	16046	14812
520	16081	14784
521	16114	14756
522	16145	14725
523	16179	14697
524	16211	14667
525	16244	14638
526	16273	14606
527	16302	14573
528	16332	14541
529	16362	14509
530	16394	14480
531	16425	14449
532	16457	14419
533	16489	14390
534	16519	14357
535	16550	14327
536	16587	14301
537	16617	14270
538	16646	14237
539	16674	14204
540	16702	14170
541	16730	14138
542	16759	14105
543	16794	14077
544	16825	14047
545	16852	14013
546	16886	13984
547	16917	13953
548	16948	13922
549	16981	13893
550	17009	13861
551	17040	13829
552	17067	13796
553	17098	13765
554	17129	13734
555	17159	13703
556	17190	13672
557	17220	13640
