iter	Logloss
482	0.579048611
483	0.5789872755
484	0.5788701077
485	0.5788053251
486	0.5787577863
487	0.5786948447
488	0.5786590364
489	0.5785770198
490	0.5785470176
491	0.5784394435
492	0.5783580352
493	0.5783312878
494	0.5782572005
495	0.5782050527
496	0.5780972906
497	0.5780279305
498	0.5779699919
499	0.5778681531
500	0.5778201355
501	0.5776812861
502	0.5776128173
503	0.5775336276
504	0.5774680905
505	0.5773943687
506	0.5773165045
507	0.577266694
508	0.5772005156
509	0.5771340481
510	0.5770265554
511	0.5770072119
512	0.576972596
513	0.5768813957
514	0.5768579789
515	0.576820589
516	0.5767544183
517	0.5767216402
518	0.5766458452
519	0.57655775
520	0.5764625022
521	0.5763001227
522	0.5762751455
523	0.5762033094
524	0.5761248351
525	0.5759511613
526	0.5759264767
527	0.5758266246
528	0.5757615749
529	0.5756283749
530	0.5755878245
531	0.5754671073
532	0.5753766193
533	0.5752772604
534	0.5752166551
535	0.5751632753
536	0.5750680339
537	0.575004229
538	0.5749776698
539	0.5749579984
540	0.5749276849
541	0.5748930904
542	0.574874045
543	0.5747402916
544	0.5746788238
545	0.5746583858
546	0.5745984802
547	0.574488748
548	0.5744150155
549	0.5743563241
550	0.5743025158
551	0.5742640825
552	0.5742352139
553	0.5741764756
554	0.5741311372
555	0.5740946172
556	0.5740570268
557	0.5739942813
558	0.5739100279
559	0.5738890014
560	0.5738522773
561	0.5738076083
562	0.5737349867
563	0.5736553769
564	0.5734952982
565	0.5734684906
566	0.5734329942
567	0.5734000337
568	0.5733677553
569	0.573295848
570	0.5732369994
571	0.5731085954
572	0.5730580206
573	0.5729792102
574	0.5728949263
575	0.5728614229
576	0.5728212977
577	0.572791791
578	0.5727189341
579	0.5726922051
580	0.5726641338
581	0.5725822663
582	0.5725420252
583	0.5724750181
584	0.5724239049
585	0.5723975835
586	0.5723505312
587	0.5722605076
588	0.5721548538
589	0.5720561939
590	0.5720044494
591	0.5719455318
592	0.5718531366
593	0.5717958601
594	0.5717312359
595	0.5716316623
596	0.5715785555
597	0.5714978308
598	0.5714532027
599	0.5713862038
600	0.571353684
601	0.5713277026
602	0.5712965852
603	0.5711335915
604	0.5710603834
605	0.5709997982
606	0.5709638885
607	0.5708988146
608	0.5708430993
609	0.5708090516
610	0.5707584678
611	0.5707117998
612	0.5706886395
613	0.5705502061
614	0.5704912244
615	0.5704643403
616	0.5704449957
617	0.5703266764
618	0.5702065454
619	0.5701418755
620	0.5701127431
621	0.5700774001
622	0.5700153237
623	0.5699581922
624	0.5698969525
625	0.5698170583
626	0.5698091377
627	0.5697676093
628	0.5697060974
629	0.5696213461
630	0.5695431696
631	0.5694703894
632	0.5694102787
633	0.569369292
634	0.5693358156
635	0.5692658032
636	0.5692296516
637	0.5691508874
638	0.5690984877
639	0.5690597497
640	0.5689318651
641	0.5689135544
642	0.5688003078
643	0.5686959479
644	0.5686456706
645	0.5685718696
646	0.5685203651
647	0.568488717
648	0.5683471142
649	0.5682747108
650	0.5682210635
651	0.5681606453
652	0.5681217875
653	0.5680814994
654	0.5679943034
655	0.5679316261
656	0.5677883952
657	0.5677663379
658	0.5677225571
659	0.5676872251
660	0.5676305867
661	0.5675834165
662	0.5675609626
663	0.567542607
664	0.5674533115
665	0.5674242982
666	0.5673938852
667	0.567367785
668	0.5673478622
669	0.567287085
670	0.5672340613
671	0.5671941011
672	0.5671635804
673	0.5671031919
674	0.5670609725
675	0.5670426227
676	0.5669980554
677	0.5669509803
678	0.5669056969
679	0.5668567618
680	0.5667978469
681	0.566779757
682	0.5667100016
683	0.5666744167
684	0.5666256162
685	0.5666036719
686	0.5665623769
687	0.5664902902
688	0.5664387731
689	0.5663733768
690	0.5663311101
691	0.5662717249
692	0.5661964993
693	0.5661438462
694	0.5660814883
695	0.5660162593
696	0.5659770804
697	0.5659440635
698	0.5659074796
699	0.5658381329
700	0.56581623
701	0.565766943
702	0.5657307469
703	0.5656741179
704	0.565557807
705	0.5654893324
706	0.5654206452
707	0.5653952814
708	0.5653216448
709	0.5652832362
710	0.5651808323
711	0.5651200137
712	0.5650319611
713	0.564952925
714	0.5648024706
715	0.5647688994
716	0.5647605419
717	0.5647150147
718	0.5646691032
719	0.5646535236
720	0.5646107474
721	0.5645761219
722	0.5644976183
723	0.5644511205
724	0.5644212969
725	0.5643534245
726	0.5643150182
727	0.5642858038
728	0.564236226
729	0.5641904659
730	0.5641787093
731	0.5641168331
732	0.5640943204
733	0.5640354512
734	0.5640049266
735	0.5639548836
736	0.5639158612
737	0.5638794357
738	0.5638491217
739	0.5636884937
740	0.563622659
741	0.5635723425
742	0.5635056626
743	0.5634719648
744	0.5634332256
745	0.563372765
746	0.563292251
747	0.563222881
748	0.5631589657
749	0.5631347681
750	0.5630998666
751	0.5630812401
752	0.5630439844
753	0.5630172136
754	0.5629915718
755	0.5629127687
756	0.5628838344
757	0.5628322373
758	0.5627333564
759	0.5627032852
760	0.5626822666
761	0.5626404777
762	0.5626212639
763	0.5625721678
764	0.5624762373
765	0.5624524988
766	0.5623836083
767	0.5623466379
768	0.5623157792
769	0.5622611543
770	0.5622308781
771	0.5621225595
772	0.562089214
773	0.5620174835
774	0.5619722931
775	0.5619297556
776	0.5617595606
777	0.561672606
778	0.561617719
779	0.5615874171
780	0.5615548405
781	0.5615078863
782	0.561361694
783	0.5613329098
784	0.5613018984
785	0.5612824907
786	0.5612364142
787	0.5612048097
788	0.561078247
789	0.5609305081
790	0.5608536436
791	0.5608192296
792	0.5607637472
793	0.5607331516
794	0.5607042089
795	0.560670814
796	0.5606263528
797	0.5605866795
798	0.5604746058
799	0.5604222394
800	0.5604052695
801	0.5603735962
802	0.5603550023
803	0.5602805991
804	0.5602496551
805	0.5602216113
806	0.5601562782
807	0.560141362
808	0.5600527356
809	0.559917896
810	0.5598394537
811	0.5597338409
812	0.5596961625
813	0.559673684
814	0.5595638276
815	0.5595044874
816	0.5594343141
817	0.5593676841
818	0.5593287761
819	0.5592694085
820	0.5592143879
821	0.5591684811
822	0.5591343692
823	0.5591019771
824	0.5590667371
825	0.5590555407
826	0.5590182329
827	0.5589464363
828	0.558880847
829	0.5588575827
830	0.5588298496
831	0.5587860413
832	0.5587519952
833	0.5587405902
834	0.5586776952
835	0.5586252587
836	0.5586083602
837	0.558557465
838	0.5584875105
839	0.5584605737
840	0.5584204595
841	0.5583827261
842	0.5583482222
843	0.5582828894
844	0.5582476846
845	0.5582253887
846	0.5581966263
847	0.5580990332
848	0.5580671962
849	0.5580353915
850	0.5579593632
851	0.5579331468
852	0.5579090685
853	0.5578784457
854	0.5578519696
855	0.5578053086
856	0.5577192105
857	0.5576860348
858	0.5576510825
859	0.5575743443
860	0.5575614898
861	0.5574982553
862	0.5574792854
863	0.5574587868
864	0.5573789975
865	0.5572925111
866	0.5572411081
867	0.5572052121
868	0.5571478694
869	0.5571190622
870	0.5570865623
871	0.5570009339
872	0.5569897834
873	0.5569617558
874	0.5569253837
875	0.5568913953
876	0.5568590141
877	0.5568376644
878	0.5568171564
879	0.5567680658
880	0.5567042346
881	0.5566432258
882	0.5566084426
883	0.5565478834
884	0.556448841
885	0.556406152
886	0.5563894719
887	0.5563531298
888	0.5563065945
889	0.556099278
890	0.5560440032
891	0.5559961185
892	0.5559640382
893	0.5559001679
894	0.5558793627
895	0.5558527081
896	0.5557914759
897	0.5557535789
898	0.5557400752
899	0.5557120858
900	0.555689042
901	0.5555488377
902	0.5555054788
903	0.5554698079
904	0.5554292897
905	0.5554014602
906	0.5553768607
907	0.5553304407
908	0.5553017906
909	0.5552413556
910	0.5552045458
911	0.5551716848
912	0.5551369238
913	0.5550853226
914	0.5550388792
915	0.5549871609
916	0.5549710196
917	0.5549326827
918	0.5549006192
919	0.5548687726
920	0.5548230057
921	0.5547907571
922	0.5547658122
923	0.5547170082
924	0.5546927671
925	0.5546548306
926	0.5546006665
927	0.5545679742
928	0.554490523
929	0.5544686867
930	0.5544093609
931	0.5543578362
932	0.5543374468
933	0.5542211529
934	0.5541840892
935	0.5541336363
936	0.5541133511
937	0.5540724284
938	0.5539665274
939	0.5539222463
940	0.553903805
941	0.5538622009
942	0.5538379911
943	0.5537928726
944	0.5537814035
945	0.5537324948
946	0.5536331917
947	0.5536044751
948	0.5535803667
949	0.5535632095
950	0.5535445825
951	0.5535291915
952	0.5534219261
953	0.5533553211
954	0.5533361597
955	0.5532460398
956	0.5532222333
957	0.5531577037
958	0.5530964045
959	0.5530056861
960	0.5529771172
961	0.5528441995
962	0.5528330508
963	0.5528039762
964	0.5527587701
965	0.5527093383
966	0.5526832532
967	0.5526476075
968	0.5526059902
969	0.5525478398
970	0.552499614
971	0.5524623745
972	0.5524193392
973	0.5523926184
974	0.5523787125
975	0.552329745
976	0.5523077881
977	0.5522595274
978	0.5522411919
979	0.5521357116
980	0.5521014593
981	0.5520457413
982	0.5520002606
983	0.5519720974
984	0.5519624334
985	0.5519396837
986	0.5518832859
987	0.5518784968
988	0.5518653624
989	0.5518284246
990	0.5518025537
991	0.5517571424
992	0.5517313742
993	0.5516576644
994	0.5516322086
995	0.5515928994
996	0.5515007531
997	0.551473667
998	0.5514060094
999	0.551379645
